u	v	shared_kmers	jaccard	species_u	species_v
GCF_000005845.2_ASM584v2|NP_415453.1	GCF_000006765.1_ASM676v1|NP_249294.1	8	0.013201	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415453.1	GCF_000006765.1_ASM676v1|NP_250116.1	8	0.010323	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415453.1	GCF_000006765.1_ASM676v1|NP_254190.1	7	0.012216	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415453.1	GCF_000006765.1_ASM676v1|NP_251944.1	7	0.012302	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415453.1	GCF_000006765.1_ASM676v1|NP_252137.1	6	0.012295	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415453.1	GCF_000006765.1_ASM676v1|NP_248897.1	6	0.009852	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415453.1	GCF_000006765.1_ASM676v1|NP_252228.1	6	0.010017	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415453.1	GCF_000006765.1_ASM676v1|NP_248993.1	6	0.009631	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415454.4	GCF_000006765.1_ASM676v1|NP_252133.1	70	0.157303	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415455.1	GCF_000006765.1_ASM676v1|NP_252134.1	115	0.181102	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415455.1	GCF_000006765.1_ASM676v1|NP_251046.1	56	0.080576	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415456.4	GCF_000006765.1_ASM676v1|NP_252135.1	11	0.017713	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415457.1	GCF_000006765.1_ASM676v1|NP_252136.1	16	0.044199	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415460.1	GCF_000006765.1_ASM676v1|NP_252773.1	7	0.004135	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415465.1	GCF_000006765.1_ASM676v1|NP_251740.1	42	0.067093	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415467.1	GCF_000006765.1_ASM676v1|NP_251712.1	6	0.009662	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415468.1	GCF_000006765.1_ASM676v1|NP_251738.1	37	0.026812	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415469.1	GCF_000006765.1_ASM676v1|NP_251709.1	59	0.049044	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415469.1	GCF_000006765.1_ASM676v1|NP_253285.1	14	0.012069	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415469.1	GCF_000006765.1_ASM676v1|NP_248826.1	9	0.007909	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415469.1	GCF_000006765.1_ASM676v1|NP_253939.1	9	0.007235	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415469.1	GCF_000006765.1_ASM676v1|NP_250654.1	9	0.007944	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415469.1	GCF_000006765.1_ASM676v1|NP_253394.1	8	0.009185	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415469.1	GCF_000006765.1_ASM676v1|NP_251602.1	8	0.009164	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415469.1	GCF_000006765.1_ASM676v1|NP_248897.1	7	0.007092	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415469.1	GCF_000006765.1_ASM676v1|NP_250116.1	7	0.006061	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415469.1	GCF_000006765.1_ASM676v1|NP_250637.1	6	0.005319	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415474.1	GCF_000006765.1_ASM676v1|NP_250301.1	38	0.128814	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415475.1	GCF_000006765.1_ASM676v1|NP_253266.1	6	0.004326	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415480.2	GCF_000006765.1_ASM676v1|NP_249145.1	12	0.008403	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415482.1	GCF_000006765.1_ASM676v1|NP_254130.1	10	0.007184	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415482.1	GCF_000006765.1_ASM676v1|NP_253983.1	9	0.006747	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415490.1	GCF_000006765.1_ASM676v1|NP_251294.1	14	0.033573	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415513.2	GCF_000006765.1_ASM676v1|NP_251514.1	9	0.005354	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415513.2	GCF_000006765.1_ASM676v1|NP_252801.1	9	0.003893	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415513.2	GCF_000006765.1_ASM676v1|NP_252152.1	7	0.003855	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415513.2	GCF_000006765.1_ASM676v1|NP_249619.1	6	0.003291	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415513.2	GCF_000006765.1_ASM676v1|NP_253669.2	6	0.003641	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415525.2	GCF_000006765.1_ASM676v1|NP_250836.1	17	0.229730	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415533.1	GCF_000006765.1_ASM676v1|NP_249127.1	7	0.017456	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415534.1	GCF_000006765.1_ASM676v1|NP_249473.1	85	0.037199	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415534.1	GCF_000006765.1_ASM676v1|NP_248910.1	7	0.003893	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415535.1	GCF_000006765.1_ASM676v1|NP_249474.1	185	0.227552	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415539.1	GCF_000006765.1_ASM676v1|NP_252670.1	7	0.010340	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415563.1	GCF_000006765.1_ASM676v1|NP_252383.1	18	0.055901	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415564.2	GCF_000006765.1_ASM676v1|NP_253997.1	13	0.013279	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415566.1	GCF_000006765.1_ASM676v1|NP_253765.1	92	0.098501	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415567.1	GCF_000006765.1_ASM676v1|NP_253764.1	185	0.122274	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415572.1	GCF_000006765.1_ASM676v1|NP_251932.1	14	0.023569	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415573.1	GCF_000006765.1_ASM676v1|NP_249549.1	6	0.009288	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415574.1	GCF_000006765.1_ASM676v1|NP_249114.1	44	0.134146	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415575.1	GCF_000006765.1_ASM676v1|NP_249113.1	15	0.042614	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415580.1	GCF_000006765.1_ASM676v1|NP_252217.1	36	0.055385	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415587.1	GCF_000006765.1_ASM676v1|NP_253252.1	144	0.165708	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415593.1	GCF_000006765.1_ASM676v1|NP_249770.1	6	0.013274	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415594.1	GCF_000006765.1_ASM676v1|NP_249771.1	8	0.009456	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415596.1	GCF_000006765.1_ASM676v1|NP_249773.1	9	0.017928	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415598.3	GCF_000006765.1_ASM676v1|NP_249775.1	24	0.034286	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415602.1	GCF_000006765.1_ASM676v1|NP_251666.1	120	0.062176	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415604.1	GCF_000006765.1_ASM676v1|NP_251665.1	30	0.050251	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415604.1	GCF_000006765.1_ASM676v1|NP_253234.1	6	0.009631	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415607.1	GCF_000006765.1_ASM676v1|NP_251660.1	6	0.059406	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415608.2	GCF_000006765.1_ASM676v1|NP_251659.1	19	0.029096	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415610.1	GCF_000006765.1_ASM676v1|NP_251658.1	25	0.042662	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415611.1	GCF_000006765.1_ASM676v1|NP_251657.1	24	0.052516	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415611.1	GCF_000006765.1_ASM676v1|NP_253474.1	9	0.013314	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415611.1	GCF_000006765.1_ASM676v1|NP_250161.1	8	0.016985	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415611.1	GCF_000006765.1_ASM676v1|NP_254211.1	7	0.014374	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415611.1	GCF_000006765.1_ASM676v1|NP_250518.1	6	0.012474	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415611.1	GCF_000006765.1_ASM676v1|NP_252778.1	6	0.012474	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415611.1	GCF_000006765.1_ASM676v1|NP_251818.1	6	0.012605	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415611.1	GCF_000006765.1_ASM676v1|NP_250693.1	6	0.012397	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415612.1	GCF_000006765.1_ASM676v1|NP_251656.1	31	0.269565	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415613.1	GCF_000006765.1_ASM676v1|NP_251655.1	62	0.082119	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415613.1	GCF_000006765.1_ASM676v1|NP_250064.1	12	0.014760	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415613.1	GCF_000006765.1_ASM676v1|NP_250300.1	9	0.011264	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415615.1	GCF_000006765.1_ASM676v1|NP_251653.1	13	0.019520	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415616.1	GCF_000006765.1_ASM676v1|NP_251652.1	6	0.014742	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415617.1	GCF_000006765.1_ASM676v1|NP_250223.1	6	0.006024	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415618.1	GCF_000006765.1_ASM676v1|NP_251649.1	32	0.066528	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415619.1	GCF_000006765.1_ASM676v1|NP_252450.1	9	0.008763	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415620.1	GCF_000006765.1_ASM676v1|NP_252857.1	11	0.007285	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415625.1	GCF_000006765.1_ASM676v1|NP_251695.1	21	0.032710	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415627.1	GCF_000006765.1_ASM676v1|NP_253228.1	31	0.037485	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415632.1	GCF_000006765.1_ASM676v1|NP_251692.1	149	0.069724	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415632.1	GCF_000006765.1_ASM676v1|NP_254032.1	14	0.007713	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415634.1	GCF_000006765.1_ASM676v1|NP_251678.1	14	0.017699	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415634.1	GCF_000006765.1_ASM676v1|NP_251676.1	12	0.014815	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415635.4	GCF_000006765.1_ASM676v1|NP_251677.1	39	0.094891	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415635.4	GCF_000006765.1_ASM676v1|NP_251547.1	16	0.036866	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415635.4	GCF_000006765.1_ASM676v1|NP_253284.1	16	0.036782	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415635.4	GCF_000006765.1_ASM676v1|NP_249583.1	8	0.017058	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415635.4	GCF_000006765.1_ASM676v1|NP_251616.1	8	0.017021	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415635.4	GCF_000006765.1_ASM676v1|NP_252074.1	8	0.016227	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415635.4	GCF_000006765.1_ASM676v1|NP_248763.1	7	0.015385	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415635.4	GCF_000006765.1_ASM676v1|NP_250030.1	7	0.015217	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415635.4	GCF_000006765.1_ASM676v1|NP_252297.1	7	0.012090	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415635.4	GCF_000006765.1_ASM676v1|NP_252881.1	7	0.015119	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415644.1	GCF_000006765.1_ASM676v1|NP_249017.1	38	0.055965	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415644.1	GCF_000006765.1_ASM676v1|NP_251944.1	28	0.041729	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415644.1	GCF_000006765.1_ASM676v1|NP_248897.1	27	0.037975	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415644.1	GCF_000006765.1_ASM676v1|NP_252297.1	22	0.031030	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415644.1	GCF_000006765.1_ASM676v1|NP_249294.1	19	0.026462	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415644.1	GCF_000006765.1_ASM676v1|NP_248971.1	17	0.025000	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415644.1	GCF_000006765.1_ASM676v1|NP_252228.1	16	0.022472	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415644.1	GCF_000006765.1_ASM676v1|NP_248993.1	14	0.018970	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415644.1	GCF_000006765.1_ASM676v1|NP_253761.1	11	0.018303	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415644.1	GCF_000006765.1_ASM676v1|NP_251877.1	10	0.013441	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415647.1	GCF_000006765.1_ASM676v1|NP_249871.1	9	0.009836	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415648.1	GCF_000006765.1_ASM676v1|NP_249870.1	9	0.020979	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415648.1	GCF_000006765.1_ASM676v1|NP_251169.1	7	0.016204	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415649.1	GCF_000006765.1_ASM676v1|NP_251319.1	133	0.172952	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415651.4	GCF_000006765.1_ASM676v1|NP_251316.1	78	0.119084	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415653.4	GCF_000006765.1_ASM676v1|NP_252657.1	22	0.058824	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415654.1	GCF_000006765.1_ASM676v1|NP_251313.1	137	0.199418	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415686.2	GCF_000006765.1_ASM676v1|NP_251508.1	8	0.007890	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415686.2	GCF_000006765.1_ASM676v1|NP_250418.1	6	0.005115	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415686.2	GCF_000006765.1_ASM676v1|NP_253982.1	6	0.005720	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415692.1	GCF_000006765.1_ASM676v1|NP_251935.1	7	0.045161	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415693.1	GCF_000006765.1_ASM676v1|NP_251934.1	58	0.122622	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415694.1	GCF_000006765.1_ASM676v1|NP_251933.1	10	0.021097	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415698.1	GCF_000006765.1_ASM676v1|NP_249009.1	7	0.016548	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415699.5	GCF_000006765.1_ASM676v1|NP_249990.1	7	0.024561	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415704.1	GCF_000006765.1_ASM676v1|NP_250511.1	80	0.086674	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415706.1	GCF_000006765.1_ASM676v1|NP_249277.1	87	0.093548	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415707.1	GCF_000006765.1_ASM676v1|NP_253991.1	45	0.055624	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415708.1	GCF_000006765.1_ASM676v1|NP_253617.1	15	0.021771	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415708.1	GCF_000006765.1_ASM676v1|NP_253989.1	10	0.014430	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415709.2	GCF_000006765.1_ASM676v1|NP_253708.3	84	0.082192	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415715.1	GCF_000006765.1_ASM676v1|NP_251106.1	74	0.072125	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415721.1	GCF_000006765.1_ASM676v1|NP_253362.1	95	0.152244	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415722.1	GCF_000006765.1_ASM676v1|NP_253361.1	13	0.035616	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415725.1	GCF_000006765.1_ASM676v1|NP_253359.1	55	0.097691	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415726.1	GCF_000006765.1_ASM676v1|NP_253358.1	24	0.045198	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415728.1	GCF_000006765.1_ASM676v1|NP_253355.1	26	0.032338	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415729.1	GCF_000006765.1_ASM676v1|NP_253354.1	63	0.097523	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415729.1	GCF_000006765.1_ASM676v1|YP_003933612.1	16	0.022923	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415729.1	GCF_000006765.1_ASM676v1|NP_254157.1	6	0.010949	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415730.1	GCF_000006765.1_ASM676v1|NP_253353.1	21	0.040230	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415733.1	GCF_000006765.1_ASM676v1|NP_252326.1	64	0.130346	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415739.1	GCF_000006765.1_ASM676v1|NP_252568.1	16	0.039120	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415739.1	GCF_000006765.1_ASM676v1|NP_250668.1	7	0.016667	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415740.1	GCF_000006765.1_ASM676v1|NP_252567.1	12	0.010025	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415741.1	GCF_000006765.1_ASM676v1|NP_252565.1	50	0.057405	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415742.1	GCF_000006765.1_ASM676v1|NP_252564.1	308	0.140639	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415743.1	GCF_000006765.1_ASM676v1|NP_252563.1	184	0.221420	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415744.1	GCF_000006765.1_ASM676v1|NP_252562.1	21	0.046563	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415749.1	GCF_000006765.1_ASM676v1|NP_249730.1	6	0.020478	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415749.1	GCF_000006765.1_ASM676v1|NP_249725.1	6	0.029703	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415752.1	GCF_000006765.1_ASM676v1|NP_250713.1	6	0.010619	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415761.1	GCF_000006765.1_ASM676v1|NP_253194.1	6	0.010187	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415763.1	GCF_000006765.1_ASM676v1|NP_253196.1	20	0.031898	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415763.1	GCF_000006765.1_ASM676v1|NP_250498.1	8	0.009456	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415763.1	GCF_000006765.1_ASM676v1|NP_250751.1	6	0.007117	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415767.2	GCF_000006765.1_ASM676v1|NP_251892.1	13	0.074713	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415772.1	GCF_000006765.1_ASM676v1|NP_252756.1	10	0.023585	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415773.1	GCF_000006765.1_ASM676v1|NP_250874.1	6	0.018692	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415775.4	GCF_000006765.1_ASM676v1|NP_250836.1	17	0.209877	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415775.4	GCF_000006765.1_ASM676v1|NP_250880.1	10	0.076336	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415777.1	GCF_000006765.1_ASM676v1|NP_248726.1	34	0.045033	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415778.3	GCF_000006765.1_ASM676v1|NP_249342.1	6	0.008392	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415779.1	GCF_000006765.1_ASM676v1|NP_249693.1	12	0.016925	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415779.1	GCF_000006765.1_ASM676v1|NP_249340.1	7	0.009790	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415780.1	GCF_000006765.1_ASM676v1|NP_249692.1	38	0.037924	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415780.1	GCF_000006765.1_ASM676v1|NP_249300.1	9	0.009063	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415783.6	GCF_000006765.1_ASM676v1|NP_251889.1	9	0.022727	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415785.1	GCF_000006765.1_ASM676v1|NP_251869.1	30	0.047096	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415786.1	GCF_000006765.1_ASM676v1|NP_249963.1	6	0.015666	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415787.1	GCF_000006765.1_ASM676v1|NP_251863.1	9	0.018789	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415788.1	GCF_000006765.1_ASM676v1|NP_250523.1	25	0.038168	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415790.1	GCF_000006765.1_ASM676v1|NP_251701.1	174	0.112331	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415791.1	GCF_000006765.1_ASM676v1|NP_250445.1	48	0.081356	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415792.1	GCF_000006765.1_ASM676v1|NP_250253.1	268	0.175968	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415792.1	GCF_000006765.1_ASM676v1|NP_249485.1	34	0.019825	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415793.1	GCF_000006765.1_ASM676v1|NP_252736.1	25	0.068306	Escherichia coli	Pseudomonas aeruginosa
GCF_000005845.2_ASM584v2|NP_415797.1	GCF_000006765.1_ASM676v1|NP_251566.1	18	0.040089	Escherichia coli	Pseudomonas aeruginosa
