u	species	component_id	score	deg_xsp	n_species	max_z	top5_mean_z	max_species_fraction	species_entropy_norm	betweenness	clustering_coeff
GCF_000011065.1_ASM1106v1|WP_002558075.1	Bacteroides thetaiotaomicron	8	3.643157	8	4	6.205741	5.230081	0.250000	1.000000		0.857143
GCF_014131755.1_ASM1413175v1|WP_002558075.1	Bacteroides thetaiotaomicron	8	3.643157	8	4	6.205741	5.230081	0.250000	1.000000		0.857143
GCF_000005845.2_ASM584v2|NP_415417.1	Escherichia coli	276	3.638566	11	3	5.531699	5.024990	0.636364	0.826074		0.327273
GCF_000009925.1_ASM992v1|WP_005782187.1	Bacteroides fragilis	8	3.637329	8	4	5.359051	4.878464	0.250000	1.000000		0.857143
GCF_000025985.1_ASM2598v1|WP_005782187.1	Bacteroides fragilis	8	3.637329	8	4	5.359051	4.878464	0.250000	1.000000		0.857143
GCF_000016645.1_ASM1664v1|WP_007803605.1	Flavobacterium johnsoniae	8	3.637329	8	4	5.643831	4.755852	0.250000	1.000000		0.857143
GCF_030388325.1_ASM3038832v1|WP_007803605.1	Flavobacterium johnsoniae	8	3.637329	8	4	5.643831	4.755852	0.250000	1.000000		0.857143
GCF_000006765.1_ASM676v1|NP_250280.1	Pseudomonas aeruginosa	35	3.630740	23	12	6.881381	5.476952	0.086957	0.995001		0.529644
GCF_000021345.1_ASM2134v1|WP_012558334.1	Rhizobium leguminosarum	44	3.628674	15	8	3.169595	2.149741	0.133333	0.991186		0.238095
GCF_000196035.1_ASM19603v1|NP_466156.1	Listeria monocytogenes	8	3.627186	16	8	8.441755	7.978882	0.125000	1.000000		0.600000
GCF_000007565.2_ASM756v2|WP_004577162.1	Pseudomonas putida	90	3.621053	12	6	5.364019	4.683855	0.250000	0.975664		0.560606
GCF_000220625.1_ASM22062v1|WP_013997380.1	Capnocytophaga canimorsus	506	3.601318	13	4	11.488408	10.177804	0.461538	0.869075		0.435897
GCF_000007125.1_ASM712v1|WP_004684261.1	Brucella melitensis	23	3.589368	15	8	7.450423	5.826076	0.133333	0.991186		0.400000
